team_code,Class
silver01,Sylvester’s Formula
silver02,Sylvester’s Formula
silver03,Sylvester’s Formula
silver04,Sylvester’s Formula
silver05,Sylvester’s Formula
silver06,Sylvester’s Formula
silver07,Sylvester’s Formula
silver08,Sylvester’s Formula
silver09,Sylvester’s Formula
silver10,Sylvester’s Formula
silver11,Sylvester’s Formula
silver12,Sylvester’s Formula
silver13,Sylvester’s Formula
silver14,Sylvester’s Formula
silver15,Sylvester’s Formula
silver16,Sylvester’s Formula
silver17,Sylvester’s Formula
silver18,Sylvester’s Formula
silver19,Sylvester’s Formula
silver20,Sylvester’s Formula
silver21,Sylvester’s Formula
silver22,Sylvester’s Formula
silver23,Sylvester’s Formula
silver24,Sylvester’s Formula
silver25,Sylvester’s Formula
blue01,Blue Ocean Strategy
blue02,Blue Ocean Strategy
blue03,Blue Ocean Strategy
blue04,Blue Ocean Strategy
blue05,Blue Ocean Strategy
blue06,Blue Ocean Strategy
blue07,Blue Ocean Strategy
blue08,Blue Ocean Strategy
blue09,Blue Ocean Strategy
blue10,Blue Ocean Strategy
blue11,Blue Ocean Strategy
blue12,Blue Ocean Strategy
blue13,Blue Ocean Strategy
blue14,Blue Ocean Strategy
blue15,Blue Ocean Strategy
blue16,Blue Ocean Strategy
blue17,Blue Ocean Strategy
blue18,Blue Ocean Strategy
blue19,Blue Ocean Strategy
blue20,Blue Ocean Strategy
blue21,Blue Ocean Strategy
blue22,Blue Ocean Strategy
blue23,Blue Ocean Strategy
blue24,Blue Ocean Strategy
blue25,Blue Ocean Strategy
green01,Green’s Theorem
green02,Green’s Theorem
green03,Green’s Theorem
green04,Green’s Theorem
green05,Green’s Theorem
green06,Green’s Theorem
green07,Green’s Theorem
green08,Green’s Theorem
green09,Green’s Theorem
green10,Green’s Theorem
green11,Green’s Theorem
green12,Green’s Theorem
green13,Green’s Theorem
green14,Green’s Theorem
green15,Green’s Theorem
green16,Green’s Theorem
green17,Green’s Theorem
green18,Green’s Theorem
green19,Green’s Theorem
green20,Green’s Theorem
green21,Green’s Theorem
green22,Green’s Theorem
green23,Green’s Theorem
green24,Green’s Theorem
green25,Green’s Theorem
gold01,Golden Ratio
gold02,Golden Ratio
gold03,Golden Ratio
gold04,Golden Ratio
gold05,Golden Ratio
gold06,Golden Ratio
gold07,Golden Ratio
gold08,Golden Ratio
gold09,Golden Ratio
gold10,Golden Ratio
gold11,Golden Ratio
gold12,Golden Ratio
gold13,Golden Ratio
gold14,Golden Ratio
gold15,Golden Ratio
gold16,Golden Ratio
gold17,Golden Ratio
gold18,Golden Ratio
gold19,Golden Ratio
gold20,Golden Ratio
gold21,Golden Ratio
gold22,Golden Ratio
gold23,Golden Ratio
gold24,Golden Ratio
gold25,Golden Ratio
pink01,Pink Sheets
pink02,Pink Sheets
pink03,Pink Sheets
pink04,Pink Sheets
pink05,Pink Sheets
pink06,Pink Sheets
pink07,Pink Sheets
pink08,Pink Sheets
pink09,Pink Sheets
pink10,Pink Sheets
pink11,Pink Sheets
pink12,Pink Sheets
pink13,Pink Sheets
pink14,Pink Sheets
pink15,Pink Sheets
pink16,Pink Sheets
pink17,Pink Sheets
pink18,Pink Sheets
pink19,Pink Sheets
pink20,Pink Sheets
pink21,Pink Sheets
pink22,Pink Sheets
pink23,Pink Sheets
pink24,Pink Sheets
pink25,Pink Sheets
purple01,Purple Noise
purple02,Purple Noise
purple03,Purple Noise
purple04,Purple Noise
purple05,Purple Noise
purple06,Purple Noise
purple07,Purple Noise
purple08,Purple Noise
purple09,Purple Noise
purple10,Purple Noise
purple11,Purple Noise
purple12,Purple Noise
purple13,Purple Noise
purple14,Purple Noise
purple15,Purple Noise
purple16,Purple Noise
purple17,Purple Noise
purple18,Purple Noise
purple19,Purple Noise
purple20,Purple Noise
purple21,Purple Noise
purple22,Purple Noise
purple23,Purple Noise
purple24,Purple Noise
purple25,Purple Noise
red01,Redington Immunization
red02,Redington Immunization
red03,Redington Immunization
red04,Redington Immunization
red05,Redington Immunization
red06,Redington Immunization
red07,Redington Immunization
red08,Redington Immunization
red09,Redington Immunization
red10,Redington Immunization
red11,Redington Immunization
red12,Redington Immunization
red13,Redington Immunization
red14,Redington Immunization
red15,Redington Immunization
red16,Redington Immunization
red17,Redington Immunization
red18,Redington Immunization
red19,Redington Immunization
red20,Redington Immunization
red21,Redington Immunization
red22,Redington Immunization
red23,Redington Immunization
red24,Redington Immunization
red25,Redington Immunization
yellow01,Yellow Paper
yellow02,Yellow Paper
yellow03,Yellow Paper
yellow04,Yellow Paper
yellow05,Yellow Paper
yellow06,Yellow Paper
yellow07,Yellow Paper
yellow08,Yellow Paper
yellow09,Yellow Paper
yellow10,Yellow Paper
yellow11,Yellow Paper
yellow12,Yellow Paper
yellow13,Yellow Paper
yellow14,Yellow Paper
yellow15,Yellow Paper
yellow16,Yellow Paper
yellow17,Yellow Paper
yellow18,Yellow Paper
yellow19,Yellow Paper
yellow20,Yellow Paper
yellow21,Yellow Paper
yellow22,Yellow Paper
yellow23,Yellow Paper
yellow24,Yellow Paper
yellow25,Yellow Paper
